Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.02,DRIVE,259401,0.00,15.06,0,54.23,0.00,0.00,0,0,0
2.03,DRIVE,259401,0.00,15.13,0,54.22,0.00,0.00,0,0,0
3.04,DRIVE,259401,0.00,15.19,0,54.25,0.00,0.00,0,0,0
4.05,DRIVE,259402,0.00,15.26,0,54.27,0.00,0.00,0,0,0
5.08,DRIVE,259403,0.00,15.32,0,54.23,0.00,0.00,0,0,0
6.09,DRIVE,259403,0.00,15.39,0,54.22,0.00,0.00,0,0,0
7.10,DRIVE,259403,0.00,15.46,0,54.23,0.00,0.00,0,0,0
8.10,DRIVE,259403,0.00,15.52,0,54.25,0.00,0.00,0,0,0
9.11,DRIVE,259403,0.00,15.59,0,54.25,0.00,0.00,0,0,0
10.11,DRIVE,259403,0.00,15.66,0,54.22,0.00,0.00,0,0,0
11.12,DRIVE,259403,0.00,15.73,0,54.22,0.00,0.00,0,0,0
12.13,DRIVE,259412,0.00,15.80,0,53.66,2.27,121.70,52,9,0
13.15,DRIVE,259461,1.43,15.86,0,53.62,1.13,60.75,72,9,30
14.16,DRIVE,259538,1.98,15.93,0,53.42,1.85,98.57,85,12,41
15.17,DRIVE,259646,2.88,15.99,0,53.24,3.39,180.44,999,17,60
16.18,DRIVE,259798,4.00,16.05,0,53.01,4.28,226.88,999,22,83
17.20,DRIVE,259999,5.11,16.10,0,52.94,5.11,270.72,999,26,107
18.21,DRIVE,260319,6.50,16.15,0,52.90,5.05,267.31,93,30,136
19.22,DRIVE,260628,7.64,16.20,0,52.99,7.07,374.92,999,36,160
20.23,DRIVE,260986,8.80,16.24,0,52.88,8.00,423.23,999,41,184
21.25,DRIVE,261395,9.96,16.28,0,52.81,8.93,471.61,999,45,208
22.28,DRIVE,261856,11.13,16.31,0,52.70,9.84,518.71,999,51,233
23.29,DRIVE,262367,12.20,16.34,0,52.52,10.73,563.42,999,55,255
24.31,DRIVE,262926,13.06,16.37,0,52.63,11.46,602.90,999,59,273
25.32,DRIVE,263535,14.68,16.39,0,52.42,12.57,658.87,999,66,307
26.33,DRIVE,264195,15.65,16.40,0,52.31,13.40,700.98,999,69,328
27.37,DRIVE,264901,16.67,16.42,0,51.75,14.31,740.39,999,74,349
28.37,DRIVE,265654,17.65,16.42,0,51.68,15.17,784.16,999,78,370
29.39,DRIVE,266457,19.07,16.43,0,52.02,16.25,845.17,999,83,399
30.41,DRIVE,267311,20.23,16.43,0,51.70,17.15,886.38,999,89,424
31.42,DRIVE,268220,21.68,16.42,0,51.71,18.32,947.56,999,93,454
32.44,DRIVE,269176,22.57,16.41,0,51.12,18.67,954.26,999,96,473
33.46,DRIVE,270180,23.36,16.39,0,52.02,16.30,848.03,999,100,490
34.48,DRIVE,271213,23.86,16.38,0,52.15,14.39,750.54,999,100,500
35.49,DRIVE,272261,24.04,16.36,0,52.16,13.51,704.84,999,100,504
36.51,DRIVE,273320,24.39,16.33,0,52.38,12.28,643.44,999,100,511
37.53,DRIVE,274387,24.57,16.31,0,52.49,11.75,616.52,999,100,515
38.55,DRIVE,275735,24.94,16.26,0,52.51,10.77,565.44,999,100,523
39.57,DRIVE,276822,24.94,16.24,0,52.58,10.45,549.49,999,100,523
40.59,DRIVE,277917,25.13,16.21,0,52.34,9.50,497.37,999,100,527
41.63,DRIVE,278998,24.04,16.19,0,53.68,0.00,0.00,0,0,504
42.64,DRIVE,279799,7.94,16.19,0,53.71,0.00,0.00,0,0,166
43.68,DRIVE,280048,13.60,16.25,0,53.75,0.00,0.00,0,0,285
44.70,DRIVE,280526,8.57,16.29,0,53.77,0.00,0.00,0,0,179
45.72,DRIVE,280772,3.23,16.35,0,53.80,0.00,0.00,0,0,67
46.73,DRIVE,280812,1.14,16.43,0,53.78,0.00,0.00,0,0,24
47.75,DRIVE,280812,0.00,16.52,0,53.82,0.00,0.00,0,0,0
48.77,DRIVE,280812,0.00,16.60,0,53.82,0.00,0.00,0,0,0
49.78,DRIVE,280812,0.00,16.69,0,53.86,0.00,0.00,0,0,0
